line,statn_id,statn_nm,direction,time_band,day_type,headway_samples,p50_sec,p90_sec,mean_sec,std_sec,cv,over_1p5x_ratio
1호선,1001000100,소요산,상행,출근,평일,1,830,830,830.0,,,0.0
1호선,1001000101,동두천,상행,출근,평일,6,434,623,440.0,195.4,0.444,0.0
1호선,1001000101,동두천,상행,퇴근,평일,1,695,695,695.0,,,0.0
1호선,1001000101,동두천,하행,점심,평일,1,453,453,453.0,,,0.0
1호선,1001000101,동두천,하행,출근,평일,3,559,810,519.0,313.5,0.604,0.0
1호선,1001000101,동두천,하행,퇴근,평일,1,534,534,534.0,,,0.0
1호선,1001000102,보산,상행,출근,평일,5,434,614,434.0,175.8,0.406,0.0
1호선,1001000102,보산,상행,퇴근,평일,1,695,695,695.0,,,0.0
1호선,1001000102,보산,하행,출근,평일,5,518,773,582.0,156.9,0.27,0.0
1호선,1001000103,동두천중앙,상행,출근,평일,6,427,719,482.0,203.8,0.423,0.167
1호선,1001000103,동두천중앙,상행,퇴근,평일,1,702,702,702.0,,,0.0
1호선,1001000103,동두천중앙,하행,출근,평일,7,461,760,492.0,144.9,0.295,0.143
1호선,1001000104,지행,상행,출근,평일,6,449,682,465.0,198.9,0.428,0.167
1호선,1001000104,지행,상행,퇴근,평일,1,708,708,708.0,,,0.0
1호선,1001000104,지행,하행,출근,평일,6,501,896,573.0,203.0,0.354,0.167
1호선,1001000105,덕정,상행,출근,평일,5,515,653,498.0,162.4,0.326,0.0
1호선,1001000105,덕정,상행,퇴근,평일,1,689,689,689.0,,,0.0
1호선,1001000105,덕정,하행,출근,평일,7,531,888,547.0,194.8,0.356,0.143
1호선,1001000106,덕계,상행,출근,평일,4,424,625,486.0,164.2,0.338,0.0
1호선,1001000106,덕계,상행,퇴근,평일,1,659,659,659.0,,,0.0
1호선,1001000106,덕계,하행,출근,평일,7,491,889,555.0,193.7,0.349,0.286
1호선,1001000107,양주,상행,점심,평일,3,596,818,553.0,288.9,0.522,0.0
1호선,1001000107,양주,상행,출근,평일,6,458,799,487.0,231.8,0.476,0.167
1호선,1001000107,양주,상행,퇴근,평일,4,318,814,439.0,252.8,0.576,0.25
1호선,1001000107,양주,하행,점심,평일,4,426,767,566.0,184.9,0.327,0.5
1호선,1001000107,양주,하행,출근,평일,7,518,764,515.0,149.5,0.29,0.0
1호선,1001000107,양주,하행,퇴근,평일,3,302,828,388.0,404.4,1.043,0.333
1호선,1001000108,녹양,상행,점심,평일,3,815,839,750.0,133.9,0.179,0.0
1호선,1001000108,녹양,상행,출근,평일,4,566,799,604.0,143.8,0.238,0.0
1호선,1001000108,녹양,상행,퇴근,평일,4,306,834,442.0,263.1,0.596,0.25
1호선,1001000108,녹양,하행,점심,평일,2,239,777,508.0,380.4,0.749,0.5
1호선,1001000108,녹양,하행,출근,평일,8,386,842,502.0,199.3,0.397,0.25
1호선,1001000108,녹양,하행,퇴근,평일,4,458,804,583.0,200.9,0.345,0.5
1호선,1001000109,가능,상행,점심,평일,3,816,861,737.0,177.8,0.241,0.0
1호선,1001000109,가능,상행,출근,평일,5,595,797,568.0,159.5,0.281,0.0
1호선,1001000109,가능,상행,퇴근,평일,5,356,826,493.0,261.7,0.531,0.4
1호선,1001000109,가능,하행,점심,평일,3,517,708,503.0,212.3,0.422,0.0
1호선,1001000109,가능,하행,출근,평일,7,410,817,511.0,199.1,0.39,0.286
1호선,1001000109,가능,하행,퇴근,평일,5,466,819,559.0,184.5,0.33,0.2
1호선,1001000110,의정부,상행,점심,평일,6,355,854,484.0,226.1,0.467,0.5
1호선,1001000110,의정부,상행,출근,평일,5,424,605,448.0,101.6,0.227,0.0
1호선,1001000110,의정부,상행,퇴근,평일,6,323,775,416.0,191.3,0.46,0.167
1호선,1001000110,의정부,하행,점심,평일,7,326,826,429.0,257.3,0.6,0.429
1호선,1001000110,의정부,하행,출근,평일,9,386,740,405.0,204.0,0.504,0.222
