line,minute_ts,records,distinct_trains,ingest_lag_avg_sec
9호선,2026-06-24T18:16:00.000Z,86,30,-32336.8
2호선,2026-06-24T12:19:00.000Z,54,30,-32352.9
1호선,2026-06-24T08:54:00.000Z,177,51,-32316.5
1호선,2026-06-24T18:35:00.000Z,215,49,-32317.2
1호선,2026-06-24T12:22:00.000Z,106,37,-32331.8
2호선,2026-06-24T08:49:00.000Z,144,53,-32340.4
9호선,2026-06-24T12:50:00.000Z,32,17,-32329.0
9호선,2026-06-24T18:33:00.000Z,122,38,-32330.6
9호선,2026-06-24T12:36:00.000Z,43,21,-32336.1
9호선,2026-06-24T08:27:00.000Z,74,32,-32326.9
2호선,2026-06-24T08:22:00.000Z,114,47,-32335.8
2호선,2026-06-24T08:47:00.000Z,143,53,-32324.5
2호선,2026-06-24T18:43:00.000Z,107,43,-32345.7
9호선,2026-06-16T16:20:00.000Z,42,18,-29749.5
2호선,2026-06-24T18:11:00.000Z,112,43,-32341.7
9호선,2026-06-24T08:18:00.000Z,92,32,-32325.2
1호선,2026-06-24T12:15:00.000Z,117,37,-32324.3
9호선,2026-06-24T08:31:00.000Z,83,35,-32304.7
2호선,2026-06-24T12:32:00.000Z,58,28,-32335.8
2호선,2026-06-24T11:57:00.000Z,3,2,-32233.3
9호선,2026-06-24T12:12:00.000Z,31,21,-32347.7
9호선,2026-06-24T18:57:00.000Z,80,31,-32352.4
9호선,2026-06-24T18:44:00.000Z,68,34,-32340.8
2호선,2026-06-24T18:00:00.000Z,125,47,-32336.0
1호선,2026-06-24T08:32:00.000Z,175,52,-32313.0
9호선,2026-06-24T08:37:00.000Z,94,32,-32322.9
9호선,2026-06-24T11:59:00.000Z,23,18,-32347.7
9호선,2026-06-24T18:50:00.000Z,85,31,-32331.1
1호선,2026-06-24T18:34:00.000Z,195,49,-32317.5
9호선,2026-06-24T08:00:00.000Z,70,31,-32329.3
1호선,2026-06-24T12:49:00.000Z,125,38,-32321.5
1호선,2026-06-24T12:12:00.000Z,134,37,-32310.6
9호선,2026-06-16T17:12:00.000Z,50,20,-31344.8
1호선,2026-06-24T12:54:00.000Z,78,25,-32321.1
9호선,2026-06-24T18:11:00.000Z,77,33,-32345.2
2호선,2026-06-24T12:44:00.000Z,50,25,-32345.2
9호선,2026-06-24T12:32:00.000Z,50,24,-32335.7
1호선,2026-06-24T18:13:00.000Z,220,49,-32321.2
1호선,2026-06-24T12:21:00.000Z,134,36,-32303.0
2호선,2026-06-24T08:38:00.000Z,89,45,-32331.6
2호선,2026-06-24T08:00:00.000Z,117,51,-32327.7
9호선,2026-06-16T17:21:00.000Z,60,22,-31542.7
2호선,2026-06-24T08:31:00.000Z,91,41,-32312.1
1호선,2026-06-24T17:58:00.000Z,77,22,-32251.6
9호선,2026-06-16T16:44:00.000Z,64,19,-30493.5
9호선,2026-06-16T16:22:00.000Z,40,15,-29841.0
1호선,2026-06-24T08:12:00.000Z,202,58,-32319.1
2호선,2026-06-24T12:40:00.000Z,62,29,-32347.0
9호선,2026-06-24T12:37:00.000Z,44,16,-32325.3
1호선,2026-06-24T08:23:00.000Z,220,53,-32314.0
2호선,2026-06-24T18:23:00.000Z,107,44,-32347.2
2호선,2026-06-24T18:57:00.000Z,127,47,-32351.3
9호선,2026-06-24T07:48:00.000Z,2,1,-32182.0
1호선,2026-06-24T08:24:00.000Z,176,44,-32296.2
1호선,2026-06-24T18:46:00.000Z,225,52,-32322.3
1호선,2026-06-24T08:14:00.000Z,183,44,-32300.9
9호선,2026-06-24T08:43:00.000Z,84,31,-32348.6
9호선,2026-06-24T18:30:00.000Z,73,32,-32331.2
2호선,2026-06-24T18:07:00.000Z,102,41,-32346.9
2호선,2026-06-24T12:29:00.000Z,59,26,-32350.7
1호선,2026-06-24T17:57:00.000Z,34,11,-32214.5
2호선,2026-06-24T08:50:00.000Z,156,59,-32329.8
2호선,2026-06-24T12:15:00.000Z,64,31,-32333.4
1호선,2026-06-24T12:10:00.000Z,112,36,-32329.4
2호선,2026-06-24T08:44:00.000Z,144,57,-32346.8
9호선,2026-06-24T07:55:00.000Z,93,33,-32345.5
1호선,2026-06-24T18:05:00.000Z,191,49,-32327.0
1호선,2026-06-24T12:46:00.000Z,99,34,-32322.9
9호선,2026-06-24T12:29:00.000Z,38,19,-32327.2
9호선,2026-06-24T18:04:00.000Z,72,27,-32340.4
2호선,2026-06-24T12:27:00.000Z,58,27,-32345.2
9호선,2026-06-16T16:43:00.000Z,54,19,-30466.9
9호선,2026-06-24T18:36:00.000Z,76,35,-32337.7
9호선,2026-06-24T18:48:00.000Z,89,36,-32332.8
2호선,2026-06-24T17:57:00.000Z,6,1,-32198.5
2호선,2026-06-24T08:48:00.000Z,83,37,-32335.5
9호선,2026-06-16T17:40:00.000Z,36,25,-32016.7
2호선,2026-06-24T18:50:00.000Z,101,44,-32352.0
2호선,2026-06-24T12:21:00.000Z,68,33,-32334.8
1호선,2026-06-24T18:57:00.000Z,212,58,-32340.0
9호선,2026-06-24T18:17:00.000Z,64,30,-32334.9
2호선,2026-06-24T08:32:00.000Z,117,53,-32336.8
9호선,2026-06-16T17:06:00.000Z,66,22,-31153.5
9호선,2026-06-24T08:07:00.000Z,69,33,-32322.3
9호선,2026-06-24T08:54:00.000Z,73,36,-32354.3
2호선,2026-06-24T18:31:00.000Z,122,46,-32348.0
2호선,2026-06-24T08:30:00.000Z,159,50,-32331.1
9호선,2026-06-24T08:13:00.000Z,91,36,-32333.5
2호선,2026-06-24T12:45:00.000Z,52,30,-32348.5
2호선,2026-06-24T12:47:00.000Z,68,32,-32341.2
9호선,2026-06-24T08:01:00.000Z,54,26,-32345.9
9호선,2026-06-24T08:05:00.000Z,114,33,-32323.7
1호선,2026-06-24T12:30:00.000Z,104,33,-32326.3
9호선,2026-06-16T17:27:00.000Z,42,26,-31240.9
9호선,2026-06-16T17:37:00.000Z,36,26,-31847.9
1호선,2026-06-24T12:08:00.000Z,115,40,-32338.0
9호선,2026-06-24T18:06:00.000Z,90,33,-32339.5
1호선,2026-06-24T18:39:00.000Z,216,47,-32323.7
9호선,2026-06-24T12:52:00.000Z,49,22,-32358.3
1호선,2026-06-24T12:43:00.000Z,132,37,-32317.9
1호선,2026-06-24T08:55:00.000Z,209,52,-32319.9
9호선,2026-06-24T08:23:00.000Z,97,34,-32336.8
9호선,2026-06-24T18:29:00.000Z,82,32,-32341.1
9호선,2026-06-24T18:14:00.000Z,90,31,-32331.4
9호선,2026-06-24T18:53:00.000Z,90,34,-32335.2
1호선,2026-06-24T08:00:00.000Z,186,52,-32289.0
1호선,2026-06-24T08:51:00.000Z,169,53,-32319.5
9호선,2026-06-24T12:33:00.000Z,42,22,-32347.3
2호선,2026-06-24T12:07:00.000Z,72,31,-32349.3
1호선,2026-06-24T12:29:00.000Z,119,39,-32327.0
9호선,2026-06-24T11:58:00.000Z,15,9,-32275.8
9호선,2026-06-16T17:31:00.000Z,52,31,-31485.3
9호선,2026-06-16T16:53:00.000Z,44,16,-30766.4
1호선,2026-06-24T08:38:00.000Z,156,44,-32305.0
2호선,2026-06-24T12:55:00.000Z,58,30,-32351.2
9호선,2026-06-24T18:45:00.000Z,82,31,-32342.1
1호선,2026-06-24T18:29:00.000Z,212,49,-32316.0
1호선,2026-06-24T17:56:00.000Z,9,4,-32165.2
9호선,2026-06-24T12:06:00.000Z,38,19,-32337.2
1호선,2026-06-24T18:02:00.000Z,165,39,-32315.8
2호선,2026-06-24T12:42:00.000Z,55,27,-32344.9
2호선,2026-06-24T11:58:00.000Z,15,13,-32309.5
1호선,2026-06-24T12:19:00.000Z,77,29,-32326.6
2호선,2026-06-24T12:56:00.000Z,47,25,-32349.1
1호선,2026-06-24T08:07:00.000Z,184,49,-32304.0
9호선,2026-06-24T08:41:00.000Z,75,33,-32323.0
2호선,2026-06-24T08:43:00.000Z,120,45,-32350.9
9호선,2026-06-24T07:59:00.000Z,108,32,-32332.5
9호선,2026-06-24T08:28:00.000Z,118,35,-32323.6
9호선,2026-06-24T12:15:00.000Z,27,18,-32349.6
9호선,2026-06-16T17:09:00.000Z,70,22,-31245.0
9호선,2026-06-24T18:22:00.000Z,87,32,-32323.2
2호선,2026-06-24T08:56:00.000Z,114,45,-32351.4
9호선,2026-06-24T12:24:00.000Z,43,23,-32329.9
2호선,2026-06-24T12:41:00.000Z,50,31,-32346.3
9호선,2026-06-24T08:59:00.000Z,11,11,-32362.9
9호선,2026-06-16T17:14:00.000Z,62,21,-31402.9
1호선,2026-06-24T08:22:00.000Z,210,54,-32302.2
9호선,2026-06-24T12:57:00.000Z,47,23,-32352.0
9호선,2026-06-24T18:25:00.000Z,86,33,-32336.9
9호선,2026-06-16T17:28:00.000Z,37,22,-31307.0
9호선,2026-06-24T18:26:00.000Z,87,33,-32340.9
9호선,2026-06-24T08:08:00.000Z,90,29,-32332.5
9호선,2026-06-24T08:12:00.000Z,81,34,-32339.2
2호선,2026-06-24T18:54:00.000Z,102,39,-32340.1
2호선,2026-06-24T12:11:00.000Z,58,30,-32349.0
2호선,2026-06-24T08:28:00.000Z,153,51,-32332.8
9호선,2026-06-16T17:46:00.000Z,20,20,-32360.3
2호선,2026-06-24T18:14:00.000Z,119,48,-32338.2
1호선,2026-06-24T18:26:00.000Z,235,49,-32319.5
1호선,2026-06-24T07:52:00.000Z,198,48,-32306.4
2호선,2026-06-24T18:27:00.000Z,127,43,-32341.6
9호선,2026-06-24T08:55:00.000Z,109,37,-32333.0
9호선,2026-06-16T17:10:00.000Z,62,21,-31277.4
1호선,2026-06-24T08:47:00.000Z,202,50,-32309.9
1호선,2026-06-24T18:23:00.000Z,207,55,-32323.1
2호선,2026-06-24T07:49:00.000Z,4,4,-32285.8
